Method,,,,sMAPE,,,,,,,MASE,,,,,,,OWA,,,,,,,Overview,,,,
User ID,Team Members,Affiliation,Type of Method,Yearly,Quarterly,Monthly,Weekly,Daily,Hourly,Total,Yearly,Quarterly,Monthly,Weekly,Daily,Hourly,Total,Yearly,Quarterly,Monthly,Weekly,Daily,Hourly,Total,Better than Comb,General Rank (OWA),General Rank (sMAPE),General Rank (MASE),% improvement over Comb
9,"Yapar G., Capar S. & Yavuz. I.",Dokuz Eylul University,Statistical,13.981,10.016,13.047,8.540,38.011,12.851,13.573,3.115,1.166,1.098,2.578,43.267,2.238,3.371,0.820,0.880,0.969,0.930,12.841,0.817,1.382,0,51,35,55,-53.93
256,"Yilmaz, T. E.",Dokuz Eylul University,Statistical,13.933,10.207,13.085,8.304,38.010,13.399,13.627,3.124,1.203,1.182,2.528,43.263,63.805,3.676,0.819,0.902,1.009,0.908,12.840,13.685,1.464,0,52,38,57,-63.06
253,"Çetin, B.",Dokuz Eylul University,Statistical,16.529,10.671,13.409,8.213,38.027,12.771,14.489,4.000,1.350,1.009,2.602,43.272,2.163,3.576,1.009,0.977,0.939,0.917,12.845,0.799,1.469,0,53,46,56,-63.67
91,"Mukhopadhyay, S.",University of Texas,Machine Learning,20.081,15.720,19.769,15.352,8.443,42.557,18.469,5.183,2.073,1.936,4.535,8.902,11.544,3.059,1.267,1.470,1.596,1.654,2.744,3.568,1.481,0,54,54,50,-64.96
RNN,The M4 Team,Benchmark,Machine Learning,22.398,17.027,24.056,15.220,5.964,14.698,21.152,4.946,2.016,1.601,5.132,6.232,3.048,2.685,1.308,1.508,1.587,1.755,1.930,1.036,1.482,0,55,57,49,-65.07
219,"Pełka, P.",Czestochowa University of Technology,Machine Learning,39.789,12.843,14.577,8.932,5.724,16.562,19.573,9.081,1.503,1.212,2.678,6.919,1.835,3.341,2.360,1.131,1.075,0.970,1.995,0.834,1.595,0,56,56,54,-77.70
MLP,The M4 Team,Benchmark,Machine Learning,21.764,18.500,24.333,21.349,9.321,13.842,21.653,4.946,2.314,1.925,13.568,12.973,2.607,3.225,1.288,1.684,1.749,3.608,3.509,0.921,1.642,0,57,58,51,-82.87
225,"Dudek, G.",Czestochowa University of Technology,Other,14.681,28.019,27.940,73.334,53.075,28.537,26.137,3.362,4.345,3.368,71.620,56.507,7.608,6.110,0.872,2.857,2.553,16.898,17.334,2.364,2.561,0,58,59,58,-185.33
258,"Sirotin, R.",Siberian State University of Telecommunications and Information Sciences,Statistical,17.029,14.347,23.308,18.365,4.820,76.784,19.136,39.006,1.786,8.442,7.327,4.920,95.149,14.081,5.429,1.303,4.779,2.322,1.542,21.953,4.387,0,59,55,59,-388.76
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sMAPE: symmetric mean absolute percentage error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MASE: mean absolute scaled error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OWA: overall weighted average of the relative sMAPE and the relative MASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
